league_type,match_time,match_duration,team1,score,team2,half_score
以丙,19:15,完,加兰苏瓦,3vs0,夏普尔比内福迪斯,0vs0
伊朗杯,19:30,完,纳夫特,0vs0,埃斯特格拉尔,0vs0
伊朗杯,19:30,完,高尔高赫,0vs0,尼卡岶里斯,0vs0
伊朗杯,19:30,完,扎巴汉,3vs0,德黑兰起亚,0vs0
球会友谊,20:00,完,南塔,2vs1,布达尔斯,1vs0
球会友谊,20:00,完,加加纪亚,4vs0,弗洛雷斯蒂,1vs0
球会友谊,20:00,完,西雅图海湾人,0vs3,奥丹斯,0vs1
球会友谊,20:00,完,孔波齐矿,0vs7,PFC蒙大拿,0vs1
球会友谊,20:00,完,PFC索治,1vs0,索菲亚斯拉维亚,0vs0
埃塞超,20:00,完,锡达马(中),2vs1,NIGD银行,1vs1
国际友谊,20:00,完,孟加拉 U19(女),1vs1,印度 U19(女),0vs1
沙地乙B,20:25,完,朱拜勒,3vs1,阿尔舒伊布,2vs1
伊朗杯,20:30,完,弗兰候萨斯坦,0vs1,查多玛路,0vs0
埃及甲,20:30,完,萨奇亚多坎,3vs0,波图苏伊士,1vs0
埃及甲,20:30,完,卡巴阿斯玛利,0vs0,开罗FC,0vs0
埃及甲,20:30,完,哈比,1vs1,阿洛埃及,0vs0
埃及甲,20:30,完,伊蒂哈阿修塔,1vs1,柏迪福阿德,1vs0
埃及甲,20:30,完,阿尔梅雷赫塞得港,0vs1,苏伊士,0vs1
沙地乙B,20:40,完,德拉伊耶,1vs1,瓦吉,0vs1
埃及甲,20:40,完,萨母斯,3vs0,奈梅特西奈,1vs0
芬联杯,20:45,完,哈卡(中),1vs2,施拿钟基,0vs1
沙地乙B,20:50,完,阿尔萨克尔,3vs0,阿尔萨德利雅得,1vs0
沙地乙B,20:50,完,图韦克,3vs0,阿拉尔,0vs0
阿塞杯,21:00,完,兹拉,3vs0,萨巴伊,2vs0
芬联杯,21:00,完,古比斯(中),5vs0,VPS华沙,3vs0
球会友谊,21:00,完,斯达(中),1vs1,拜尼,0vs1
球会友谊,21:00,完,乌拉尔II队,2vs2,下塔吉尔,0vs0
球会友谊,21:00,完,韦莱斯莫斯科,1vs0,卡卢咖,1vs0
球会友谊,21:00,完,马尔默,0vs4,博德闪耀,0vs2
利比亚甲A,21:00,完,塔哈迪,1vs0,阿尔莫罗,1vs0
巴帕拉甲,21:00,完,圣弗朗西斯科,0vs1,马拉巴PA,0vs1
卢旺达联,21:00,完,穆库尔,2vs0,卢旺达警察,2vs0
大西洋杯,21:00,完,哥本哈根,3vs1,莫尔德,2vs0
国际友谊,21:00,完,波兰 U17(中),3vs4,捷克 U17,2vs0
乌干超,21:00,完,马鲁,0vs0,瓦基奥巨人,0vs0
沙地女联,21:00,完,纳吉马特吉达 (女),0vs0,诺斯 (女),0vs0
沙地乙B,21:05,完,禾特恩,2vs1,阿尔努尔,1vs0
沙地乙B,21:05,完,杰拉什,2vs1,阿萨尔麦地那,0vs0
沙地乙B,21:05,完,阿尔库兹,1vs3,比萨FC,1vs0
桑给超,21:10,完,加姆胡利,0vs1,玛芬兹奥,0vs1
桑给超,21:15,完,马林迪,2vs0,恩戈姆足球俱乐部,1vs0
沙地乙B,21:20,完,艾哈瓦,2vs1,沙希尔盖提夫,1vs1
球会友谊,21:30,完,达拉斯(中),4vs1,奥特,1vs0
球会友谊,21:30,完,格拉茨风暴 (青年),1vs3,布林杰格罗苏普列,0vs2
印喀联,21:30,完,喀拉拉邦联合,2vs0,穆特,1vs0
荷后备,21:30,完,洛达 (后备),3vs2,威廉二世 (后备),2vs0
科元首杯,21:40,完,沙米亚,3vs0,阿尔塔达孟费瓦尼亚,1vs0
球会友谊,22:00,完,圣彼得堡泽尼特(中),6vs0,上海申花,2vs0
球会友谊,22:00,完,亚历山德里亚,3vs0,阿哈尔,1vs0
球会友谊,22:00,完,诺夫哥罗德,4vs0,莫斯科鱼雷,1vs0
球会友谊,22:00,完,莫斯科迪纳摩,4vs1,奥伦堡,1vs0
球会友谊,22:00,完,诺维贝尔格莱德,0vs2,拉尼奇NB,0vs0
国际友谊,22:00,完,比利时 U17(女),1vs0,威尔斯 U17(女),0vs0
土杯,22:30,完,根塞尔伯里吉,1vs1,特拉布宗,1vs0
球会友谊,22:30,完,莫斯科火车头(中),2vs1,乌拉尔图,1vs0
球会友谊,22:30,完,列治亚,1vs1,顿涅茨克矿工,0vs1
球会友谊,22:30,完,伏尔加乌里扬诺夫斯克,0vs1,新西伯利亚,0vs0
阿尔U21,22:30,完,CS康桑汰 U21,2vs1,巴亚兹 U21,1vs0
阿尔U21,22:30,完,USM阿尔格 U21,5vs1,巴拉特 U21,2vs0
阿尔U21,22:30,完,瑟特福 U21,1vs1,USM罕西拉 U21,0vs1
阿尔U21,22:40,完,贝鲁扎达 U21,6vs0,US 南声 U21,1vs0
阿尔U21,22:40,完,MC奥兰 U21,0vs2,克莱夫 U21,0vs0
阿尔U21,22:40,完,阿克农 U21,0vs0,MC阿尔及尔 U21,0vs0
阿尔U21,22:40,完,卡比利亚 U21,2vs1,玛格拉 U21,0vs0
匈甲,23:00,完,梅索科菲德,0vs1,帕克斯,0vs0
摩洛超,23:00,完,拉加卡萨布兰卡,2vs0,优素菲耶,1vs0
球会友谊,23:00,完,基辅迪纳摩,5vs2,利耶帕亚,3vs2
埃塞超,23:00,完,梅克拉克亚(中),0vs4,埃塞俄比亚文和,0vs2
